origin_iata,dest_iata,anchor_annual,anchor_weekly,years_used,first_year,last_year,method
WAW,PMI,67595.92,1299.9216,2,2023,2024,eu_trend_wm_max_recent_v2
LED,MXP,67566.0,1299.3462,5,2015,2019,eu_trend_wm_max_recent_v2
AMS,PKX,67554.84,1299.1315,1,2024,2024,eu_trend_wm_max_recent_v2
IAS,BVA,67534.95,1298.749,6,2016,2024,eu_trend_wm_max_recent_v2
STN,BIO,67486.59,1297.819,5,2015,2019,eu_trend_wm_max_recent_v2
DXB,LCA,67466.98,1297.442,7,2015,2024,eu_trend_wm_max_recent_v2
KEF,TFS,67466.58,1297.4343,7,2015,2024,eu_trend_wm_max_recent_v2
VIE,PVG,67442.0,1296.9615,5,2016,2024,eu_trend_wm_max_recent_v2
FCO,ADD,67424.41,1296.6233,7,2015,2024,eu_trend_wm_max_recent_v2
LHR,MAA,67413.76,1296.4184,5,2015,2019,eu_trend_wm_max_recent_v2
PMI,PRG,67405.61,1296.2617,6,2016,2024,eu_trend_wm_max_recent_v2
CPH,CRL,67398.54,1296.1258,4,2016,2019,eu_trend_wm_max_recent_v2
VIE,BUD,67371.88,1295.6131,7,2015,2024,eu_trend_wm_max_recent_v2
PSA,MAN,67369.16,1295.5608,7,2015,2024,eu_trend_wm_max_recent_v2
SUF,TRN,67350.14,1295.1951,7,2015,2024,eu_trend_wm_max_recent_v2
SBZ,MUC,67331.53,1294.837,7,2015,2024,eu_trend_wm_max_recent_v2
AMS,ACE,67322.95,1294.6721,7,2015,2024,eu_trend_wm_max_recent_v2
MXP,OSL,67312.3,1294.4673,7,2015,2024,eu_trend_wm_max_recent_v2
GOT,CDG,67303.47,1294.2974,7,2015,2024,eu_trend_wm_max_recent_v2
MAN,PSA,67295.8,1294.15,7,2015,2024,eu_trend_wm_max_recent_v2
CAN,IST,67268.88,1293.6323,2,2023,2024,eu_trend_wm_max_recent_v2
DXB,HEL,67248.0,1293.2308,4,2016,2019,eu_trend_wm_max_recent_v2
HAM,HER,67246.0,1293.1923,7,2015,2024,eu_trend_wm_max_recent_v2
ZRH,PVG,67223.1,1292.7519,6,2015,2024,eu_trend_wm_max_recent_v2
DUB,BTS,67219.02,1292.6735,7,2015,2024,eu_trend_wm_max_recent_v2
LPA,BRU,67216.98,1292.6342,7,2015,2024,eu_trend_wm_max_recent_v2
NTE,PMI,67191.28,1292.14,7,2015,2024,eu_trend_wm_max_recent_v2
BCN,ATL,67181.12,1291.9445,6,2016,2024,eu_trend_wm_max_recent_v2
ATL,DUS,67181.0,1291.9423,5,2015,2019,eu_trend_wm_max_recent_v2
GOT,IST,67176.0,1291.8462,3,2019,2024,eu_trend_wm_max_recent_v2
FRA,NRT,67175.16,1291.83,7,2015,2024,eu_trend_wm_max_recent_v2
PMI,WAW,67171.88,1291.7669,2,2023,2024,eu_trend_wm_max_recent_v2
FRA,ABZ,67168.1,1291.6942,3,2015,2017,eu_trend_wm_max_recent_v2
DUS,ORD,67163.83,1291.6122,1,2015,2015,eu_trend_wm_max_recent_v2
ATH,MAN,67159.87,1291.5359,7,2015,2024,eu_trend_wm_max_recent_v2
CAG,VCE,67140.01,1291.1541,7,2015,2024,eu_trend_wm_max_recent_v2
CDG,ALC,67110.9,1290.5943,2,2023,2024,eu_trend_wm_max_recent_v2
CDG,GLA,67098.89,1290.3633,7,2015,2024,eu_trend_wm_max_recent_v2
TFS,KEF,67087.48,1290.1439,7,2015,2024,eu_trend_wm_max_recent_v2
SOF,LGW,67073.16,1289.8685,7,2015,2024,eu_trend_wm_max_recent_v2
OSL,CHQ,67071.47,1289.8359,7,2015,2024,eu_trend_wm_max_recent_v2
LUX,ZRH,67021.36,1288.8724,7,2015,2024,eu_trend_wm_max_recent_v2
CGN,TFS,66996.66,1288.3973,7,2015,2024,eu_trend_wm_max_recent_v2
GVA,LPL,66994.0,1288.3462,5,2015,2019,eu_trend_wm_max_recent_v2
TFS,CPH,66952.0,1287.5385,7,2015,2024,eu_trend_wm_max_recent_v2
KRS,AMS,66925.0,1287.0192,7,2015,2024,eu_trend_wm_max_recent_v2
BUD,DOH,66918.53,1286.8948,6,2016,2024,eu_trend_wm_max_recent_v2
IST,DTW,66906.33,1286.6603,1,2024,2024,eu_trend_wm_max_recent_v2
BWN,LHR,66895.0,1286.4423,5,2015,2019,eu_trend_wm_max_recent_v2
STR,LPA,66875.0,1286.0577,7,2015,2024,eu_trend_wm_max_recent_v2
STN,GRO,66862.86,1285.8242,7,2015,2024,eu_trend_wm_max_recent_v2
MXP,NRT,66855.06,1285.6743,5,2015,2019,eu_trend_wm_max_recent_v2
WAW,LCA,66842.0,1285.4231,7,2015,2024,eu_trend_wm_max_recent_v2
ARN,ATH,66821.74,1285.0335,7,2015,2024,eu_trend_wm_max_recent_v2
AGP,HAM,66806.03,1284.7314,7,2015,2024,eu_trend_wm_max_recent_v2
AMS,KRS,66798.0,1284.5769,7,2015,2024,eu_trend_wm_max_recent_v2
ORY,BRS,66792.18,1284.4649,2,2023,2024,eu_trend_wm_max_recent_v2
ORY,LAX,66777.4,1284.1807,2,2023,2024,eu_trend_wm_max_recent_v2
FRA,CMN,66752.45,1283.701,7,2015,2024,eu_trend_wm_max_recent_v2
EWR,DUS,66747.9,1283.6135,5,2015,2019,eu_trend_wm_max_recent_v2
OTP,LIS,66699.0,1282.6731,4,2015,2019,eu_trend_wm_max_recent_v2
FMM,SOF,66687.15,1282.4452,6,2016,2024,eu_trend_wm_max_recent_v2
ALC,FRA,66647.0,1281.6731,3,2017,2019,eu_trend_wm_max_recent_v2
SNN,JFK,66645.35,1281.6413,7,2015,2024,eu_trend_wm_max_recent_v2
ARN,LIS,66620.97,1281.1726,7,2015,2024,eu_trend_wm_max_recent_v2
ATH,WAW,66613.87,1281.036,6,2016,2024,eu_trend_wm_max_recent_v2
GLA,FRA,66600.02,1280.7696,4,2018,2024,eu_trend_wm_max_recent_v2
