iata,icao,name,city,country,lat,lon,runway_length_ft,gate_count,timezone,score,category
RDR,KRDR,Grand Forks Air Force Base,Grand Forks,US,47.961102,-97.401199,12350,25,America/Chicago,12000,small_airport
RDU,KRDU,Raleigh-Durham International Airport,Raleigh/Durham,US,35.878659,-78.7873,10000,80,America/New_York,950000,medium_airport
RER,MGRT,Retalhuleu Airport,Retalhuleu,GT,14.509700,-91.698000,5000,1,America/Guatemala,15000,small_airport
REX,MMRX,General Lucio Blanco International Airport,Reynosa,MX,26.008900,-98.228500,6245,4,America/Monterrey,130000,medium_airport
RFD,KRFD,Chicago Rockford International Airport,Chicago/Rockford,US,42.1954,-89.097198,10004,100,America/New_York,210000,medium_airport
RGN,VYYY,Yangon International Airport,Yangon,MM,16.907301,96.133202,11200,25,Asia/Yangon,950000,large_airport
RHI,KRHI,Rhinelander Oneida County Airport,Rhinelander,US,45.631199,-89.467499,6800,25,America/New_York,21000,small_airport
RHP,VNRC,Ramechhap Airport,Manthali,NP,27.394200,86.061700,1700,2,Asia/Kathmandu,55000,small_airport
RIC,KRIC,Richmond International Airport,Richmond,US,37.505199,-77.319702,9003,80,America/New_York,820000,medium_airport
RIH,MPSM,Scarlett Martínez International Airport,Río Hato,PA,8.375280,-80.128600,8005,3,America/Panama,95000,small_airport
RIL,KRIL,Garfield County Regional Airport,Rifle,US,39.526299,-107.726997,7000,25,America/Denver,15000,small_airport
RIS,RJER,Rishiri Airport,Rishiri,JP,45.242001,141.186005,5906,2,Asia/Tokyo,70000,medium_airport
RIV,KRIV,March Air Reserve Base,Riverside,US,33.880699,-117.259003,13300,25,America/Anchorage,25000,small_airport
RIW,KRIW,Central Wyoming Regional Airport,Riverton,US,43.064201,-108.459999,8203,25,America/Denver,15000,small_airport
RIZ,ZSRZ,Rizhao Shanzihe Airport,Rizhao,CN,35.398600,119.326000,8530,8,Asia/Shanghai,150000,medium_airport
RJH,VGRJ,Shah Makhdum Airport,Rajshahi,BD,24.437101,88.616302,5905,3,Asia/Dhaka,150000,medium_airport
RKD,KRKD,Knox County Regional Airport,Rockland,US,44.060101,-69.099197,5007,25,America/New_York,12000,small_airport
RKS,KRKS,Southwest Wyoming Regional Airport,Rock Springs,US,41.5942,-109.065001,10000,25,America/Denver,18000,small_airport
RKZ,ZURK,Shigatse Peace Airport,Shigatse,CN,29.351700,89.308300,16404,8,Asia/Shanghai,120000,medium_airport
RMA,YROM,Roma Airport,Roma,AU,-26.545800,148.774994,5000,2,Australia/Brisbane,35000,small_airport
RME,KRME,Griffiss International Airport,Rome,US,43.233799,-75.406998,11820,45,America/New_York,65000,small_airport
RMG,KRMG,Richard B Russell Airport,Rome,US,34.350601,-85.157997,6000,25,America/New_York,5000,small_airport
RMQ,RCMQ,Taichung International Airport,Taichung,TW,24.264601,120.620000,12000,10,Asia/Taipei,350000,large_airport
RND,KRND,Randolph Air Force Base,Universal City,US,29.529699,-98.2789,8353,25,America/Chicago,15000,small_airport
RNH,KRNH,New Richmond Regional Airport,New Richmond,US,45.1483,-92.538101,4003,25,America/Chicago,4000,small_airport
RNI,MNCI,Corn Island Airport,Corn Island,NI,12.170600,-83.056900,6500,2,America/Managua,120000,medium_airport
RNJ,RORE,Yoron Airport,Yoron,JP,27.043600,128.401000,3937,2,Asia/Tokyo,12000,small_airport
RNO,KRNO,Reno Tahoe International Airport,Reno,US,39.4991,-119.767998,11002,80,America/Anchorage,770000,medium_airport
ROA,KROA,Roanoke–Blacksburg Regional Airport,Roanoke,US,37.3255,-79.975403,6800,25,America/New_York,180000,medium_airport
ROC,KROC,Frederick Douglass Greater Rochester International Airport,Rochester,US,43.1189,-77.672401,8001,80,America/New_York,740000,medium_airport
ROK,YBRK,Rockhampton Airport,Rockhampton,AU,-23.381100,150.475006,8622,5,Australia/Brisbane,180000,medium_airport
ROR,PTRO,Roman Tmetuchl International Airport,Babelthuap Island,PW,7.366965,134.544085,7200,5,Pacific/Palau,150000,large_airport
ROT,NZRO,Rotorua Regional Airport,Rotorua,NZ,-38.109001,176.317001,6936,4,Pacific/Auckland,160000,medium_airport
ROW,KROW,Roswell Air Center Airport,Roswell,US,33.301601,-104.530998,13001,25,America/Denver,25000,small_airport
RSD,MYER,Rock Sound International Airport,Rock Sound,BS,24.894400,-76.177200,7200,2,America/Nassau,55000,small_airport
RSL,KRSL,Russell Municipal Airport,Russell,US,38.872101,-98.811798,5000,25,America/Chicago,4000,small_airport
RST,KRST,Rochester International Airport,Rochester,US,43.908298,-92.5,9033,45,America/Chicago,310000,medium_airport
RSU,RKJY,Yeosu Airport,Yeosu,KR,34.842300,127.616997,6890,6,Asia/Seoul,370000,medium_airport
RSW,KRSW,Southwest Florida International Airport,Fort Myers,US,26.534685,-81.752816,12000,80,America/New_York,920000,medium_airport
RSY,RKJY,Yeosu Airport,Yeosu,KR,34.842300,127.616000,6890,4,Asia/Seoul,85000,medium_airport
RTA,NFNR,Rotuma Airport,Rotuma,FJ,-12.482800,177.067993,3838,1,Pacific/Fiji,6000,small_airport
RTB,MHRO,Juan Manuel Gálvez International Airport,Roatán,HN,16.316800,-86.525500,7000,6,America/Tegucigalpa,220000,medium_airport
RTG,WATG,Frans Sales Lega Airport,Ruteng,ID,-8.595960,120.477997,4265,1,Asia/Makassar,40000,small_airport
