origin_iata,dest_iata,anchor_annual,anchor_weekly,years_used,first_year,last_year,method
KIJ,NRT,16689.0,320.9423,4,2016,2019,jp_trend_wm_max_recent_v2
HNA,FUK,16618.38,319.5843,7,2016,2025,jp_trend_wm_max_recent_v2
FSZ,IZO,16615.8,319.5346,5,2018,2025,jp_trend_wm_max_recent_v2
NRT,KMQ,16497.0,317.25,4,2016,2019,jp_trend_wm_max_recent_v2
CTS,MYJ,16479.0,316.9038,2,2018,2019,jp_trend_wm_max_recent_v2
OKA,MMD,16403.0,315.4423,7,2016,2025,jp_trend_wm_max_recent_v2
AOJ,UKB,16345.78,314.3419,3,2023,2025,jp_trend_wm_max_recent_v2
MYJ,CTS,16151.0,310.5962,2,2018,2019,jp_trend_wm_max_recent_v2
OKD,SHB,16049.55,308.6452,3,2023,2025,jp_trend_wm_max_recent_v2
NGS,IKI,15992.58,307.5496,7,2016,2025,jp_trend_wm_max_recent_v2
SDJ,IZO,15893.64,305.6469,5,2018,2025,jp_trend_wm_max_recent_v2
SHB,OKD,15846.67,304.7436,3,2023,2025,jp_trend_wm_max_recent_v2
FUK,AXJ,15746.0,302.8077,7,2016,2025,jp_trend_wm_max_recent_v2
UKB,HNA,15590.11,299.8099,3,2023,2025,jp_trend_wm_max_recent_v2
KOJ,RNJ,15417.0,296.4808,7,2016,2025,jp_trend_wm_max_recent_v2
HNA,UKB,15362.79,295.4383,3,2023,2025,jp_trend_wm_max_recent_v2
IZO,SDJ,15257.16,293.4069,5,2018,2025,jp_trend_wm_max_recent_v2
RNJ,KOJ,14683.0,282.3654,7,2016,2025,jp_trend_wm_max_recent_v2
FUK,MMY,14595.0,280.6731,2,2018,2019,jp_trend_wm_max_recent_v2
MMY,FUK,14519.0,279.2115,2,2018,2019,jp_trend_wm_max_recent_v2
OKD,RIS,13612.86,261.7858,7,2016,2025,jp_trend_wm_max_recent_v2
FSZ,OKD,13577.22,261.1004,7,2016,2025,jp_trend_wm_max_recent_v2
OKD,FSZ,13480.46,259.2397,7,2016,2025,jp_trend_wm_max_recent_v2
RIS,OKD,13458.58,258.8188,7,2016,2025,jp_trend_wm_max_recent_v2
KKJ,FSZ,13439.0,258.4423,1,2019,2019,jp_trend_wm_max_recent_v2
KKJ,NKM,13109.04,252.0969,4,2016,2019,jp_trend_wm_max_recent_v2
KIX,SHI,13078.0,251.5,1,2019,2019,jp_trend_wm_max_recent_v2
SHI,KIX,13055.0,251.0577,1,2019,2019,jp_trend_wm_max_recent_v2
ITM,KUM,12752.69,245.244,7,2016,2025,jp_trend_wm_max_recent_v2
OGN,OKA,12563.34,241.6027,7,2016,2025,jp_trend_wm_max_recent_v2
CTS,RIS,12349.97,237.4993,7,2016,2025,jp_trend_wm_max_recent_v2
IZO,NGO,12190.23,234.4275,2,2024,2025,jp_trend_wm_max_recent_v2
NGO,IZO,11890.43,228.6622,2,2024,2025,jp_trend_wm_max_recent_v2
FSZ,KKJ,11788.0,226.6923,1,2019,2019,jp_trend_wm_max_recent_v2
OKA,OKE,11721.06,225.405,5,2018,2025,jp_trend_wm_max_recent_v2
FUK,KUM,11535.18,221.8304,7,2016,2025,jp_trend_wm_max_recent_v2
KUM,ITM,11435.76,219.9184,7,2016,2025,jp_trend_wm_max_recent_v2
NKM,KKJ,11403.6,219.3,4,2016,2019,jp_trend_wm_max_recent_v2
IZO,OKI,11226.57,215.8956,7,2016,2025,jp_trend_wm_max_recent_v2
KUM,FUK,11206.25,215.5047,7,2016,2025,jp_trend_wm_max_recent_v2
OKE,OKA,10916.0,209.9231,5,2018,2025,jp_trend_wm_max_recent_v2
FUK,KOJ,10872.32,209.0831,7,2016,2025,jp_trend_wm_max_recent_v2
OKI,IZO,10769.27,207.1013,7,2016,2025,jp_trend_wm_max_recent_v2
KOJ,FUK,10691.18,205.5995,7,2016,2025,jp_trend_wm_max_recent_v2
RIS,CTS,10492.11,201.7714,7,2016,2025,jp_trend_wm_max_recent_v2
OKD,MMJ,10221.44,196.5661,5,2018,2025,jp_trend_wm_max_recent_v2
MMJ,OKD,10105.11,194.3291,5,2018,2025,jp_trend_wm_max_recent_v2
OKA,ASJ,9955.05,191.4432,7,2016,2025,jp_trend_wm_max_recent_v2
ASJ,OKA,9651.0,185.5962,5,2016,2024,jp_trend_wm_max_recent_v2
ASJ,RNJ,9181.62,176.5697,7,2016,2025,jp_trend_wm_max_recent_v2
KIJ,SDJ,8716.75,167.6299,2,2024,2025,jp_trend_wm_max_recent_v2
SDJ,KIJ,8715.85,167.6125,2,2024,2025,jp_trend_wm_max_recent_v2
UEO,HND,8143.7,156.6096,7,2016,2025,jp_trend_wm_max_recent_v2
SHI,FUK,8080.93,155.4025,3,2023,2025,jp_trend_wm_max_recent_v2
FUK,SHI,7919.71,152.3021,3,2023,2025,jp_trend_wm_max_recent_v2
KOJ,MYJ,7714.11,148.3483,7,2016,2025,jp_trend_wm_max_recent_v2
OKE,TKN,7615.24,146.447,5,2018,2025,jp_trend_wm_max_recent_v2
TKN,OKE,7506.91,144.3637,5,2018,2025,jp_trend_wm_max_recent_v2
OKD,MSJ,7245.35,139.3336,7,2016,2025,jp_trend_wm_max_recent_v2
OKA,KTD,7241.0,139.25,7,2016,2025,jp_trend_wm_max_recent_v2
MYJ,KOJ,7232.26,139.0819,7,2016,2025,jp_trend_wm_max_recent_v2
MSJ,OKD,7095.53,136.4525,7,2016,2025,jp_trend_wm_max_recent_v2
KIX,MMB,6862.56,131.9723,7,2016,2025,jp_trend_wm_max_recent_v2
MMB,NRT,6620.28,127.313,1,2023,2023,jp_trend_wm_max_recent_v2
KTD,MMD,6543.3,125.8327,6,2016,2024,jp_trend_wm_max_recent_v2
MMB,KIX,6274.0,120.6538,7,2016,2025,jp_trend_wm_max_recent_v2
KTD,OKA,6226.08,119.7323,7,2016,2025,jp_trend_wm_max_recent_v2
NRT,MMB,6211.94,119.4603,1,2023,2023,jp_trend_wm_max_recent_v2
HND,UEO,5643.61,108.5309,7,2016,2025,jp_trend_wm_max_recent_v2
MMD,KTD,5458.85,104.978,6,2016,2024,jp_trend_wm_max_recent_v2
