origin_iata,dest_iata,anchor_annual,anchor_weekly,years_used,first_year,last_year,method
MEL,KIX,1156.92,22.2486,5,2015,2024,au_trend_wm_max_recent_v2
CTS,SYD,1138.0,21.8846,2,2019,2025,au_trend_wm_max_recent_v2
PER,PVG,1078.73,20.7447,2,2024,2025,au_trend_wm_max_recent_v2
DRW,CAN,1026.49,19.7403,1,2025,2025,au_trend_wm_max_recent_v2
BNE,ROR,903.01,17.3656,3,2023,2025,au_trend_wm_max_recent_v2
MEL,ICN,862.87,16.5937,4,2019,2025,au_trend_wm_max_recent_v2
SGN,ADL,740.0,14.2308,2,2023,2024,au_trend_wm_max_recent_v2
ROR,BNE,711.0,13.6731,2,2024,2025,au_trend_wm_max_recent_v2
KIX,MEL,648.17,12.4648,5,2015,2024,au_trend_wm_max_recent_v2
TYN,SYD,561.7,10.8019,3,2023,2025,au_trend_wm_max_recent_v2
ICN,MEL,552.46,10.6242,4,2019,2025,au_trend_wm_max_recent_v2
GUM,OOL,338.53,6.5101,1,2016,2016,au_trend_wm_max_recent_v2
SYD,TYN,317.01,6.0963,3,2023,2025,au_trend_wm_max_recent_v2
CAN,DRW,252.18,4.8497,1,2025,2025,au_trend_wm_max_recent_v2
OOL,KIX,74.0,1.4231,3,2018,2023,au_trend_wm_max_recent_v2
PER,IST,70.36,1.353,1,2015,2015,au_trend_wm_max_recent_v2
JFK,MEL,61.55,1.1837,1,2016,2016,au_trend_wm_max_recent_v2
MEL,JFK,49.88,0.9592,1,2016,2016,au_trend_wm_max_recent_v2
IST,PER,49.79,0.9575,1,2015,2015,au_trend_wm_max_recent_v2
MEL,FCO,45.29,0.8709,1,2024,2024,au_trend_wm_max_recent_v2
KIX,OOL,16.98,0.3265,1,2016,2016,au_trend_wm_max_recent_v2
